tcpConnections,dnsSize,totalTasks,runningTasks,sleepingTasks,stoppedTasks,zombie,totalMemory,freeMemory,usedMemory,bufferCache,totalSwap,freeSwap,usedSwap,availableMemory,deviceState,IOStats_tps,IOStats_rtps,IOStats_wtps,IOStats_dtps,IOStats_bread/s,IOStats_bwrtn/s,IOStats_bdscd/s,CPU Utilization_CPU,CPU Utilization_%user,CPU Utilization_%nice,CPU Utilization_%system,CPU Utilization_%iowait,CPU Utilization_%steal,CPU Utilization_%idle,Memory Utilization_kbmemfree,Memory Utilization_kbavail,Memory Utilization_kbmemused,Memory Utilization_%memused,Memory Utilization_kbbuffers,Memory Utilization_kbcached,Memory Utilization_kbcommit,Memory Utilization_%commit,Memory Utilization_kbactive,Memory Utilization_kbinact,Memory Utilization_kbdirty,Disk Device Status_DEV,Disk Device Status_tps,Disk Device Status_rkB/s,Disk Device Status_wkB/s,Disk Device Status_dkB/s,Disk Device Status_areq-sz,Disk Device Status_aqu-sz,Disk Device Status_await,Disk Device Status_%util,Processor Queue_runq-sz,Processor Queue_plist-sz,Processor Queue_ldavg-1,Processor Queue_ldavg-5,Processor Queue_ldavg-15,Processor Queue_blocked
165,15,174,1,173,0,0,922.8,141.8,301.4,479.6,100,100,0,546.8,3,0.4,0,0.4,0,0,9.6,0,all,25.42,0,1.15,0.03,0,73.4,146646,561341,288624,30.54,34527,431768,1559403,148.89,130834,589665,27,mmcblk0,0.4,0,4.8,0,12,0,2.5,0.2,1,280,1.94,1.86,1.51,0
146,11,173,2,171,0,0,922.8,141.5,301.8,479.5,100,100,0,546.4,3,0.2,0,0.2,0,0,4.8,0,all,25.06,0,0.53,0.03,0,74.39,145678,560358,289462,30.63,34612,431672,1560357,148.98,130916,590938,16,mmcblk0,0.2,0,2.4,0,12,0,3,0.1,1,279,1.74,1.81,1.52,0
168,6,172,2,170,0,0,922.8,139.8,303.3,479.7,100,100,0,544.9,1,0.2,0,0.2,0,0,4.8,0,all,24.99,0,0.53,0,0,74.48,144977,559948,290076,30.7,34684,431844,1560887,149.03,130985,592080,148,mmcblk0,0.2,0,2.4,0,12,0,2.5,0.1,1,278,1.66,1.8,1.54,0
161,22,174,2,172,0,0,922.8,136.9,305.9,480,100,100,0,542.3,2,0.3,0,0.3,0,0,5.6,0,all,24.97,0,0.75,0.03,0,74.25,141172,556436,293603,31.07,34896,431926,1563550,149.28,131204,595329,41,mmcblk0,0.3,0,2.8,0,9.33,0,2.67,0.2,1,280,1.7,1.71,1.55,0
151,7,175,1,174,0,0,922.8,135,307.8,480,100,100,0,540.5,2,1.3,0,1.3,0,0,16.8,0,all,25.04,0,0.8,0.03,0,74.13,139906,555050,295057,31.22,34935,431768,1563723,149.3,131239,596618,332,mmcblk0,0.5,0,4,0,8,0.01,9.8,0.1,1,280,1.85,1.75,1.57,0
154,6,175,2,173,0,0,922.8,132.7,310,480.1,100,100,0,538.2,0,18.8,0,18.8,0,0,260,0,all,28.16,0,3.86,0.58,0,67.41,134976,550287,299648,31.71,35019,431883,1573988,150.28,131348,600620,649,mmcblk0,18.8,0,130,0,6.91,1.84,97.63,5,1,285,2.14,1.81,1.6,0
143,6,174,2,172,0,0,922.8,130.9,311.8,480.1,100,100,0,536.4,0,0.2,0,0.2,0,0,4.8,0,all,25.56,0,0.58,0,0,73.86,134407,549745,300233,31.77,35095,431836,1566386,149.55,131444,601221,304,mmcblk0,0.2,0,2.4,0,12,0,2.5,0.1,1,280,1.99,1.82,1.61,0
149,12,173,2,171,0,0,922.8,129,313.4,480.4,100,100,0,534.8,0,0.4,0,0.4,0,0,8.8,0,all,25.69,0,0.5,0,0,73.81,133418,548864,301150,31.87,35139,431904,1567314,149.64,131483,602502,400,mmcblk0,0.4,0,4.4,0,11,0,3.25,0.3,1,279,1.93,1.83,1.62,0
147,13,173,3,170,0,0,922.8,127.3,315.3,480.3,100,100,0,532.9,3,0.4,0,0.4,0,0,8,0,all,25.29,0,0.5,0.03,0,74.18,131693,547206,302812,32.04,35195,431912,1569330,149.83,131546,604484,173,mmcblk0,0.4,0,4,0,10,0,3.75,0.5,2,279,1.65,1.77,1.61,0
141,14,173,2,171,0,0,922.8,125.3,317.2,480.4,100,100,0,531,3,0.2,0,0.2,0,0,5.6,0,all,25.22,0,0.53,0.03,0,74.23,130378,545862,304104,32.18,35231,431853,1569458,149.85,131579,605692,259,mmcblk0,0.2,0,2.8,0,14,0,4,0.1,1,278,1.84,1.81,1.63,0
